Activity to,Scenario,Year,Performance,Value
Production of offshore wind plants,Constant,2011,Average,7.077115144015478
Production of offshore wind plants,Constant,2011,Best,9.953173624540577
Production of offshore wind plants,Constant,2011,Worst,4.643549286390672
Production of offshore wind plants,Constant,2012,Average,7.346649126581203
Production of offshore wind plants,Constant,2012,Best,10.33219604996651
Production of offshore wind plants,Constant,2012,Worst,4.820435659993389
Production of offshore wind plants,Constant,2013,Average,7.683031433736296
Production of offshore wind plants,Constant,2013,Best,10.805368377763457
Production of offshore wind plants,Constant,2013,Worst,5.041082220222258
Production of offshore wind plants,Constant,2014,Average,7.908676284759294
Production of offshore wind plants,Constant,2014,Best,11.122728360683888
Production of offshore wind plants,Constant,2014,Worst,5.189125456490521
Production of offshore wind plants,Constant,2015,Average,8.178625676620733
Production of offshore wind plants,Constant,2015,Best,11.502417463117936
Production of offshore wind plants,Constant,2015,Worst,5.366230961324604
Production of offshore wind plants,Constant,2016,Average,9.689428941093526
Production of offshore wind plants,Constant,2016,Best,13.627285387221226
Production of offshore wind plants,Constant,2016,Worst,6.35745041250111
Production of offshore wind plants,Constant,2017,Average,9.383218190382832
Production of offshore wind plants,Constant,2017,Best,13.196612394629152
Production of offshore wind plants,Constant,2017,Worst,6.156556730676335
Production of offshore wind plants,Constant,2018,Average,8.27826133976249
Production of offshore wind plants,Constant,2018,Best,11.642610499911909
Production of offshore wind plants,Constant,2018,Worst,5.4315544858116676
Production of offshore wind plants,Constant,2019,Average,9.357079822525828
Production of offshore wind plants,Constant,2019,Best,13.159877349010246
Production of offshore wind plants,Constant,2019,Worst,6.139394481189286
